fuzzy_risk,classes,functions,comment_lines,ncloc,lines,complexity,class_complexity,function_complexity,blocker_violations,critical_violations,major_violations,minor_violations,Label
51.11,57,321,65,5002,6003,1043,18.3,3.2,0,11,1460,431,1
50,18,91,36,1043,1280,181,10.1,2,0,1,72,121,1
51.11,27,160,205,2027,2748,419,15.5,2.6,0,9,102,66,1
50,3,9,17,228,321,51,17,5.7,0,1,14,16,1
51.11,62,464,701,8213,11189,1393,22.5,3,1,4,2044,360,1
0,55,373,246,6080,8366,1163,21.1,3,0,9,416,290,0
50,71,367,1449,5134,9401,940,13.2,2.5,0,21,518,420,1
51.11,16,187,2175,2452,5646,796,49.8,4.2,0,1,155,113,1
0,1,14,55,149,267,31,31,2.2,0,0,2,3,0
0,53,393,1473,5572,9407,1407,26.5,3.6,0,2,441,111,0
0,18,105,109,1366,1870,267,14.8,2.4,0,1,89,20,0
0,2,7,0,197,220,85,42.5,12.1,0,1,115,36,0
0,73,534,1249,9735,14130,2167,29.7,3.9,3,14,1556,660,0
0,2,8,27,152,233,17,8.5,1.6,0,0,3,7,0
0,22,99,725,2539,4630,332,15.1,3.4,0,0,408,318,0
0,1,1,0,9,15,1,1,1,0,0,2,0,0
51.11,1,3,6,57,97,8,8,2.7,0,0,0,2,1
51.11,87,320,245,3886,5496,786,9,2.5,0,2,193,125,1
50,166,1047,1578,21921,28647,4093,24.7,3.6,4,65,4261,1356,1
0,16,90,165,912,1335,213,13.3,2.3,2,0,65,51,0
0,10,46,21,588,844,85,8.5,1.8,0,0,63,58,0
0,212,1562,2267,22938,31848,3592,16.9,2.3,1,3,978,1086,0
0,2,4,20,73,123,6,3,1.5,0,0,4,3,0
0,37,225,210,2958,3868,619,16.7,2.7,0,7,96,131,0
51.11,38,215,243,2601,4157,503,13.2,2.3,0,0,162,121,1
0,42,262,746,4376,6342,745,17.7,2.8,0,27,742,592,0
51.11,96,482,61,7262,9285,1210,12.6,2.4,0,1,239,311,1
51.11,84,494,407,6738,9521,1386,16.5,2.6,0,29,456,161,1
51.11,255,2720,6678,25028,41929,6416,25.2,2.3,5,3,1459,456,1
50,256,1882,6185,23295,38938,4920,19.2,2.6,1,43,2154,1664,1
0,1,5,21,92,166,19,19,3.8,0,2,12,5,0
44.62,48,259,420,4873,6687,1206,25.1,4.7,0,7,610,697,1
50,81,540,2116,13308,18570,2731,33.7,5,0,12,375,350,1
0,11,65,0,886,1115,168,15.3,2.6,0,7,43,12,0
0,15,73,45,1389,1829,249,16.6,3.4,0,0,106,46,0
50,38,371,441,3250,4533,751,19.8,2,0,2,296,340,1
0,153,904,10458,15442,37246,3832,25,4.2,3,11,2319,2346,0
50,34,243,542,2775,4258,411,12.1,1.6,0,2,191,166,1
0,14,60,94,1288,1570,156,11.1,2.5,0,0,221,135,0
51.11,55,267,115,3699,3996,804,14.6,3,1,3,624,110,1
51.11,4,16,198,667,1141,171,42.8,10.7,0,1,26,145,1
51.11,81,424,864,5532,9007,1077,13.3,2.5,0,0,286,385,1
51.11,10,50,121,775,1098,222,22.2,4.4,3,12,97,45,1
50,18,105,355,1411,2437,283,15.7,2.7,0,0,153,179,1
51.11,11,38,91,1007,1447,163,14.8,4.3,0,0,241,90,1
51.11,17,65,28,1360,1758,252,14.8,3.9,0,11,71,28,1
0,4,22,25,259,308,38,9.5,1.7,0,0,11,104,0
0,69,403,1603,5751,9372,1455,21.1,3.5,1,10,627,440,0
51.11,2522,21788,31776,269639,455666,56747,22.5,2.6,1715,212,54964,14930,1
51.11,35,195,229,2845,3784,452,12.9,2.2,0,1,164,89,1
51.11,151,921,3604,23239,31072,4863,32.2,4.9,0,43,4085,986,1
53.33,14,78,54,1563,2023,273,19.5,3.5,0,0,249,140,1
44.62,12,51,118,1375,1721,263,21.9,5,0,33,384,75,1
51.11,307,2690,6527,27640,44786,6849,22.3,2.5,0,17,2107,792,1
50,33,305,666,4393,6379,1051,31.8,3.4,4,9,466,484,1
0,14,141,1070,1779,3783,426,30.4,3,0,8,142,82,0
0,9,26,51,712,1001,163,18.1,6.3,0,3,74,43,0
51.11,1,1,2,12,37,1,1,1,0,0,2,0,1
50,53,255,615,3916,6047,755,14.2,2.9,0,35,317,260,1
0,16,71,22,1191,1511,197,12.3,2.8,0,3,90,31,0
0,47,175,298,2637,4170,441,9.4,2.5,1,3,574,85,0
51.11,208,1300,1833,15745,22275,3418,16.4,2.6,3,7,1800,415,1
51.11,37,246,106,2594,3270,614,16.6,2.5,1,1,302,111,1
15,35,214,79,2841,3599,485,13.9,2.2,0,25,489,100,0
53,95,786,439,8040,9562,2798,29.5,3.5,0,1,2889,299,1
0,34,189,219,3834,5571,571,16.8,3,0,0,1023,872,0
51.11,7,24,14,345,636,43,6.1,1.8,0,2,10,3,1
50,13,70,140,1087,1612,177,13.6,2.5,0,3,295,8,1
30,8,62,107,536,776,133,16.6,2.1,0,0,41,19,0
0,2,5,5,53,74,8,4,1.6,0,0,0,2,0
51.11,11,29,43,557,710,137,12.5,4.7,0,0,64,24,1
51.11,14,66,123,1542,1789,418,29.9,7,0,21,399,92,1
0,5,22,86,359,565,57,11.4,2.6,0,1,31,17,0
0,8,78,419,1240,2075,269,33.6,3.4,0,0,218,47,0
0,385,2740,6515,45967,63859,9445,24.5,3.4,2,59,1490,1873,0
51.11,9,46,16,628,734,151,16.8,3.2,0,0,178,78,1
51.11,20,83,323,1232,2009,216,10.8,2.4,0,9,75,57,1
